,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,5.686516,0.025252,-0.113503,-1.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,0.076186,0.846192,-0.113265,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,,Wins Prior to Season,Losses Prior to Season,Wins at School,Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach,Consecutive seasons improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,AP + UPSET + MM Year Prior INDY,5 Year coach gap,Started Season as Head Coach,NOTES***,,Score
New Hampshire,Nathan Davis,American East,FALSE,FALSE,FALSE,FALSE,TRUE,,145,130,16,15,1,6,146,136,0.5177,0.4474,0,10,2,0,2,0,100,1,0,0,0,0.222222222222222,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,2,0,0.5,1,0,1,0,5,3,0,2,0,5,0,0.5,0,1,1,0,4,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.142857142857143,0.516,0,0.516,2,0,-0.516,0,,,1,0,1,-5,0,0,1,,,17.8903405336222
New Haven,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,0,0,0,0,0,,,,,,0,,,,0,,0,,0,0,0,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0.722,0,0.722,,0,-0.722,,,,,0,1,-16,0,0,1,,,
New Mexico,Richard Pitino Jr.,Mountain West,FALSE,FALSE,FALSE,FALSE,TRUE,,221,178,61,41,3,1,224,179,0.5558,0.6038,0,13,4,8,3,2,100,1,0,0.615384615384615,0,0.25,9,0,0.285714285714286,0,0,1,3,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.2,0,0,0,0,7,2,5,2,0,8,5,0.615384615384615,1,0,2,0,3,1,3,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.722,0,0.722,2,0,-0.722,0,,,1,0,0,14,0,0,1,,,64.8540637092703
New Mexico St.,Jason Hooten,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,247,188,13,19,3,0,250,188,0.5708,0.4571,0,15,2,0,0,0,100,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.466666666666667,0,0,0,0,11,0,6,2,0,12,6,0.8,1,0,0,1,10,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.406,0,0.406,0,0,-0.406,0,,,1,0,1,-4,0,0,1,,,40.7085209149333
New Orleans,Stacy Hollowell,Southland,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,4,1,4,0.2,0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.2,0.303,-0.103,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,5.215382038
Niagara,Greg Paulus,MAAC,FALSE,FALSE,FALSE,FALSE,TRUE,,67,78,67,78,1,2,68,80,0.4595,0.4595,1,6,6,0,0,0,36,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.166666666666667,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.5,0,0.5,0,0,-0.5,0,,,1,0,1,-13,0,46,1,,,12.8230008656667
Nicholls St.,Tevon Saddler,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,20,14,20,14,2,3,22,17,0.5641,0.5641,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,1,1,0,0,1,1,0.5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.4,0.588,0,0.588,0,0,-0.588,0,,,1,0,1,-8,0,0,1,,,24.5480429162
NJIT,Grant Billmeier,American East,FALSE,FALSE,FALSE,FALSE,TRUE,,7,21,7,21,0,4,7,25,0.2188,0.2188,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0.25,0,0.25,0,0,-0.25,0,,,1,0,1,-16,0,0,1,,,11.0298633496
Norfolk St.,Robert Jones,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,212,148,212,148,4,1,216,149,0.5918,0.5918,0,12,12,0,2,0,100,1,0,0,0,0.181818181818182,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,9,2,0,0.916666666666667,1,0,1,0,8,3,5,0,0,9,5,0.75,1,0,6,0,6,0,7,0,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.8,0.686,0,0.686,1,0,-0.686,0,,,1,0,1,4,0,11,1,,,62.8273009869333
North Alabama,Tony Pujol,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,78,103,78,103,3,1,81,104,0.4378,0.4378,1,7,7,0,0,0,49,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.285714285714286,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.469,0,0.469,0,0,-0.469,0,,,1,1,0,7,0,51,1,,,16.8495102996
North Carolina,Hubert Davis,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,78,31,78,31,2,1,80,32,0.7143,0.7143,0,4,4,4,2,2,16,0,0,1,0,0.5,4,0,0.5,0,0,7,2,0.777777777777778,49,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,2,0,4,3,1,1,0,3,0,3,0,4,0,0,16,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0.666666666666667,0.784,0,0.784,1,0,-0.784,0,,,1,0,1,11,0,0,1,,,69.4415833437111
North Carolina A&T,Monté Ross,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,139,209,7,25,2,2,141,211,0.4006,0.25,0,11,2,0,1,0,100,1,0,0,1,0.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0.181818181818182,1,0,1,0,3,0,1,1,0,3,1,0.272727272727273,0,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.219,0,0.219,0,0,-0.219,0,,,-1,0,1,-13,0,0,1,,,-1.2351827028
North Carolina Central,LeVelle Moton,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,264,197,264,197,1,5,265,202,0.5675,0.5675,0,16,16,0,4,0,100,1,0,0,0,0.266666666666667,16,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,4,0,0.6875,1,0,1,0,11,4,0,3,0,11,0,0.6875,0,1,3,0,4,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.166666666666667,0.581,0,0.581,0,0,-0.581,0,,,1,0,1,1,0,26,1,,,27.8876646121667
North Dakota,Paul Sather,Summit,FALSE,FALSE,FALSE,FALSE,TRUE,,61,94,61,94,2,1,63,95,0.3987,0.3987,1,6,6,0,0,0,36,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.166666666666667,0,0,0,0,1,0,0,0,0,2,0,0.333333333333333,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.563,0,0.563,2,0,-0.563,0,,,1,0,1,-13,0,-53,1,,,20.9444921560667
North Dakota St.,David Richman,Summit,FALSE,FALSE,FALSE,FALSE,TRUE,,190,131,190,131,2,2,192,133,0.5908,0.5908,0,11,11,0,2,0,100,1,0,0,0,0.2,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,5,2,2,0.636363636363636,1,0,1,0,7,4,0,1,0,7,0,0.636363636363636,0,0,0,2,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.469,0,0.469,0,0,-0.469,0,,,1,0,1,-2,0,19,1,,,32.4858082528727
North Florida,Matthew Driscoll,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,233,247,233,247,3,1,236,248,0.4876,0.4876,1,16,16,0,1,0,100,1,0,0,1,0.0666666666666667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,1,0,0.3125,1,0,1,0,3,0,3,0,0,4,3,0.25,1,0,0,0,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.5,0,0.5,3,0,-0.5,0,,,-1,0,0,-10,0,59,1,,,-2.89474269663333
North Texas,Ross Hodge,American,FALSE,FALSE,FALSE,FALSE,TRUE,,19,15,19,15,3,0,22,15,0.5946,0.5946,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.559,0,0.559,0,0,-0.559,0,,,1,0,1,-13,0,0,1,,,43.5549143652
Northeastern,Bill Coen,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,282,284,282,284,3,1,285,285,0.5,0.5,0,19,19,0,2,0,100,1,0,0,0,0.111111111111111,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,2,0,0.368421052631579,1,0,1,0,9,0,5,0,0,10,5,0.526315789473684,1,0,0,3,4,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.375,0,0.375,2,0,-0.375,0,,,1,0,1,-4,0,-16,1,,,26.8611842163743
Northern Arizona,Shane Burcar,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,57,95,57,95,3,1,60,96,0.3846,0.3846,1,6,6,0,0,0,36,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.333333333333333,1,0,0,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.424,0,0.424,3,0,-0.424,0,,,1,0,1,-13,0,34,1,,,13.1876127985333
Northern Colorado,Steve Smiley,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,64,61,64,61,3,1,67,62,0.5194,0.5194,0,5,5,0,0,0,25,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.4,0,0,0,0,2,1,0,0,0,3,0,0.6,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.576,0,0.576,1,0,-0.576,0,,,1,0,1,-5,0,29,1,,,38.7749617028
Northern Illinois,Rashon Burno,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,33,60,33,60,2,2,35,62,0.3608,0.3608,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.5,0.355,0,0.355,0,0,-0.355,0,,,1,0,1,-13,0,0,1,,,10.4275505536
Northern Iowa,Ben Jacobson,Missouri Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,354,233,354,233,2,2,356,235,0.6024,0.6024,0,19,19,0,4,0,100,1,0,0,0,0.222222222222222,16,0,0,0,0,4,4,0.5,16,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,2,6,4,0,0.526315789473684,1,0,1,0,13,0,9,3,2,13,9,0.684210526315789,0,0,1,0,10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.576,0,0.576,1,0,-0.576,0,,,1,0,1,2,0,3,1,,,41.8164549794433
Northern Kentucky,Darrin Horn,Horizon,FALSE,FALSE,FALSE,FALSE,TRUE,,268,171,97,60,0,3,268,174,0.6063,0.6063,0,15,6,4,2,0,100,1,0,0.266666666666667,0,0.142857142857143,4,0,0,0,0,2,2,0.5,4,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,5,2,0,0.636363636363636,1,0,1,0,11,0,8,1,0,11,8,0.733333333333333,0,1,5,0,6,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.545,0,0.545,0,0,-0.545,0,,,1,0,0,-1,0,-13,1,,,57.3724902283229
Northwestern,Chris Collins,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,178,174,178,174,3,2,181,176,0.507,0.507,0,12,12,12,3,3,100,1,0,1,0,0.272727272727273,9,0,0.272727272727273,0,0,3,3,0.5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,2,4,0,0,5,4,0.416666666666667,1,0,2,0,2,1,3,0,0,9,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.6,0.647,0,0.647,0,0,-0.647,0,,,1,0,1,18,0,-66,1,,,67.6966248639394
Northwestern St.,Rick Cabrera,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,9,23,9,23,1,3,10,26,0.2778,0.2778,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.281,0,0.281,0,0,-0.281,0,,,1,0,0,-16,0,0,1,,,4.3623276756
Notre Dame,Micah Shrewsberry,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,50,51,13,20,3,0,53,51,0.5096,0.4444,0,4,2,4,1,0,16,0,0,1,0,0.25,1,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0.5,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.394,0,0.394,0,0,-0.394,0,,,1,0,0,-4,0,0,1,,,32.9309564752
Oakland,Greg Kampe,Horizon,FALSE,FALSE,FALSE,FALSE,TRUE,,437,373,437,373,1,3,438,376,0.5381,0.5381,0,26,26,0,4,0,100,1,0,0,0,0.16,16,0,0,0,0,1,4,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,4,0,0.576923076923077,1,0,1,0,13,0,8,3,0,13,8,0.5,0,1,1,0,6,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.667,0,0.667,1,0,-0.667,0,,,1,0,0,12,0,43,1,,,47.8867816931231
Ohio,Jeff Boals,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,152,102,98,60,1,3,153,105,0.593,0.6111,0,9,6,0,1,0,81,1,0,0,0,0.125,1,0,0,0,0,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,1,0,0.555555555555556,1,0,1,0,7,0,3,1,0,7,3,0.777777777777778,0,1,0,0,6,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.25,0.606,0,0.606,0,0,-0.606,0,,,1,0,0,-7,0,65,1,,,38.5299595428889
Ohio St.,Jake Diebler,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,8,3,8,3,2,1,10,4,0.7143,0.7143,0,2,2,2,0,0,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,1,0,2,0,0,4,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.666666666666667,0.611,0,0.611,0,0,-0.611,0,,,1,0,0,-9,0,0,1,,,59.8594799486
Oklahoma,Porter Moser,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,347,287,54,45,3,0,350,287,0.5495,0.5588,0,25,4,4,2,0,100,1,0,0.16,0,0.0833333333333333,4,0,0,0,0,6,2,0.75,36,0,1,0,0,0,0,0,2,1,1,0,0,4,0,0,1,2,2,0,0.19047619047619,1,0,1,0,12,0,6,2,1,13,6,0.52,1,0,1,0,6,0,2,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0.625,0,0.625,1,0,-0.625,0,,,1,0,0,5,0,0,1,,,55.3597218618571
Oklahoma St.,Steve Lutz,Big 12,FALSE,FALSE,TRUE,FALSE,TRUE,,69,35,0,0,3,0,72,35,0.6729,1,0,4,1,1,3,0,16,0,0,0.25,0,0.75,9,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,1,1,0,1,0,3,0,3,0,0,4,3,1,1,0,3,0,3,0,4,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.375,0.625,0.647,0,0,-0.647,0,,,1,0,1,-4,0,0,1,,,81.1550075678
Old Dominion,Mike Jones,Sun Belt,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,3,1,3,0.25,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0.25,0.219,0.031,1,0,0,0,0,,,0,0,0,-21,0,0,1,,,8.885552774
Oral Roberts,Russell Springmann,Summit,FALSE,FALSE,FALSE,FALSE,TRUE,,12,19,12,19,1,2,13,21,0.3824,0.3824,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.387,0,0.387,0,0,-0.387,0,,,1,0,0,-16,0,0,1,,,16.5340704368
Oregon,Dana Altman,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,755,395,345,152,4,0,759,395,0.6577,0.6966,0,36,15,19,16,9,100,1,0,0.527777777777778,0,0.457142857142857,100,0,0.5,0,0,18,16,0.529411764705882,100,0,0,0,1,0,0,0,5,2,1,0,0,0,0,1,5,5,10,4,0.705882352941176,0.625,0.444444444444444,0,0,33,14,26,7,2,34,26,0.944444444444444,1,0,27,0,27,0,28,0,0,784,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.667,0,0.667,2,0,-0.667,0,,,1,0,0,23,0,-4,1,,,252.72715908243
Oregon St.,Wayne Tinkle,WCC,FALSE,FALSE,FALSE,FALSE,TRUE,,298,270,140,177,4,0,302,270,0.528,0.4486,1,19,11,10,5,2,100,1,0,0.526315789473684,0,0.277777777777778,25,0,0.222222222222222,0,0,3,5,0.375,9,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,2,4,4,1,0.777777777777778,0.8,0.5,0,0,12,0,5,2,0,13,5,0.684210526315789,1,0,0,3,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0.406,0,0.406,2,0,-0.406,0,,,1,0,1,4,0,-222,1,,,44.8141054693216
Pacific,Dave Smart,WCC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,2,3,2,0.6,0.6,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.188,0.412,1,0,0,0,0,,,0,0,1,-18,0,0,1,,,45.554593648
Penn,Steve Donahue,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,323,325,123,111,2,2,325,327,0.4985,0.5252,0,23,9,4,4,0,100,1,0,0.173913043478261,1,0.181818181818182,16,0,0,0,0,2,4,0.333333333333333,4,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,3,5,1,0,0.473684210526316,0.25,0,0,0,9,5,0,1,0,9,0,0.391304347826087,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.379,0,0.379,0,0,-0.379,0,,,1,0,0,-2,0,-29,1,,,16.6395334420358
Penn St.,Mike Rhodes,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,192,130,16,17,4,0,196,130,0.6012,0.5405,0,11,2,2,3,0,100,1,0,0.181818181818182,0,0.3,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0.444444444444444,1,0,1,0,7,0,3,2,0,8,3,0.727272727272727,1,0,0,1,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.485,0,0.485,0,0,-0.485,0,,,1,0,1,-6,0,0,1,,,48.6074732350465
Pepperdine,Ed Schilling,WCC,FALSE,FALSE,TRUE,FALSE,TRUE,,75,93,0,0,1,2,76,95,0.4444,0.3333,0,7,1,0,0,0,49,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0.285714285714286,0,1,0,1,2,0,0,2,2,0,4,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0.333333333333333,0.394,-0.060666666666667,0.357,0,0,-0.357,21,,,1,0,0,-21,0,0,1,,,14.0602941914667
Pittsburgh,Jeff Capel III,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,272,202,97,92,4,0,276,202,0.5774,0.5233,0,16,7,12,4,3,100,1,0,0.75,0,0.266666666666667,16,0,0.272727272727273,0,0,5,4,0.555555555555556,25,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,2,1,0,0.75,0.25,0,0,0,9,2,4,1,1,10,4,0.625,1,0,2,0,7,0,3,0,0,9,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.667,0,0.667,0,0,-0.667,0,,,1,0,1,13,0,-50,1,,,69.8640580829616
Portland,Shantay Legans,WCC,FALSE,FALSE,FALSE,FALSE,TRUE,,120,104,45,55,2,2,122,106,0.5351,0.4519,0,8,4,0,1,0,64,1,0,0,0,0.142857142857143,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0.5,1,0,1,0,5,2,0,0,0,5,0,0.625,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.5,0.364,0,0.364,0,0,-0.364,0,,,1,0,1,-2,0,0,1,,,20.0515963347714
Portland St.,Jase Coburn,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,43,51,43,51,2,1,45,52,0.4639,0.4639,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.5,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.666666666666667,0.531,0,0.531,1,0,-0.531,0,,,1,0,1,-13,0,0,1,,,34.7474995118
