,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Oregon,,,-5.00293995252415,-33.0018492133537,23.2000394338761,28.101006072089,-14.8047497320018
Oregon St.,,,35.9742402339389,-1.76546220542078,93.3881053186432,47.914574081958,127.596883347161
Pacific,,,-1.12419748952,-15.5442836084089,47.34358280048,32.9442669554156,30.6751017025511
Penn,,,-11.2812936381125,-36.3155730765813,-0.0587413999146252,15.3529815924885,-58.9369017527208
Penn St.,,,82.1859264961263,-15.8062382410131,142.231872023446,66.5808247140174,290.797486774686
Pepperdine,,,-5.682591772218,-6.107390717926,26.406017790088,18.6502057656003,14.616035299944
Pittsburgh,,,34.7110068312066,-0.512869987526384,62.4050997966516,32.460487579786,131.314243471538
Portland,,,34.292831273599,-85.3145552072003,63.4942698780737,78.8487130951819,12.4725459444724
Portland St.,,,25.16330024158,23.384395163772,26.942205319388,2.51575168721044,50.32660048316
Prairie View A&M,,,6.967912435294,0.039858122052,13.895966748536,9.79774837064426,13.935824870588
Presbyterian,,,21.7311690323788,-3.97929580872133,70.966864084156,31.348976523113,110.449906340192
Princeton,,,1.70658571926497,-16.9772590881023,6.24963595508697,9.85820995759641,-15.6018819752204
Providence,,,-15.0888797658228,-26.3496888126,-0.815841077006,10.8100726251525,-57.3432894212516
Purdue,,,-2.23115958243018,-13.3897866184575,28.7305560902638,18.1268218916119,10.8784503069459
Purdue Fort Wayne,,,18.9871354639678,15.013526702528,32.3269833786938,9.06915000661106,66.3276455451896
Queens,,,13.854319262496,13.6868901225867,28.6675362664693,8.6011548586214,56.208745651552
Quinnipiac,,,-2.246576626925,-24.112115876263,2.00882224687256,14.0149541245065,-24.3498702563154
Radford,,,28.39546526815,-13.895234514384,53.879114533516,29.6247185595488,96.774810555432
Rhode Island,,,22.8518232490886,-40.8320591643168,86.535705662494,90.0626102136114,45.7036464981772
Rice,,,7.66672288237721,-7.22218109703001,26.858928910856,18.0471457270223,34.9701935785804
Richmond,,,-15.8777384052538,-37.1892646645918,-13.6576782710758,12.9925964604034,-66.7246813409214
Rider,,,14.2751056402082,2.44567328932923,68.6952588190025,30.7534649178163,99.6911433887482
Robert Morris,,,16.3242011125969,5.24673440314492,20.7524357078407,6.694628975789,58.6475723361794
Rutgers,,,-16.5393144991049,-17.8645036667989,1.67789859126508,10.9203820531923,-32.7259195746387
Sacramento St.,,,3.27358786724,-22.6578387099518,26.20327235724,24.4459181659559,6.8190215145282
Sacred Heart,,,9.592497067724,-20.609702005472,74.548272295624,34.9995607092226,100.303593119032
Saint Francis,,,33.5252506016937,8.24273694651862,48.2702482476146,18.3694093534109,143.783388111125
Saint Joseph's,,,7.6217935010995,-52.1706527010766,47.9397952085581,46.3555886622413,11.0127295096805
Saint Louis,,,-2.209825379906,-6.335743760888,1.916093001076,5.83492973162919,-4.419650759812
Saint Mary's,,,-2.52041482991729,-14.2403435377026,23.2261016349,17.9498518084557,3.94492843736283
Saint Peter's,,,39.029275438906,30.576022199831,47.425742823461,8.37241625769974,156.060315901104
Sam Houston St.,,,7.204391705968,-13.493629326908,92.113260396472,55.9623969197543,85.824022775532
Samford,,,1.918937157114,-11.67976152063,6.52933811665333,9.46706318714441,-3.23148624686267
San Diego,,,-8.93066767446272,-16.3815468197594,37.3184090698753,25.1879267009947,3.07552690119046
San Diego St.,,,-9.4974272667541,-9.4974272667541,-9.4974272667541,–,-9.4974272667541
San Francisco,,,50.3533664083803,-25.3012178529547,59.1882666132313,39.7144402352308,134.593781577037
San Jose St.,,,-6.7264570457139,-27.1649913068099,7.3516937553821,16.1117676858178,-33.2662116428556
Santa Clara,,,-9.59977831855185,-68.2211696286773,18.9962152000289,36.9801072131988,-68.4245110657521
Seattle,,,-2.77654082904765,-24.53073636527,93.2729686836587,54.1477727847842,63.1891506602934
Seton Hall,,,-9.62113552037932,-25.5558643810873,22.50149409421,20.3403230721516,-22.2966413276359
Siena,,,25.8945349275,4.54015512583333,61.1786937725,24.831578190499,117.507918753333
SIU Edwardsville,,,56.8249920457513,20.7806614464133,99.4143011804087,31.5268864568184,260.134401383391
SMU,,,-5.27490295638058,-30.4725520629786,-3.56427028331369,15.0659849383484,-39.3117253026729
South Alabama,,,32.2061877690924,-32.4808606017564,53.0849698670336,39.3616922230624,85.0164848034619
South Carolina,,,14.1027435112921,-48.3816647308999,69.1622330461321,41.8710604961591,50.5861776749909
South Carolina St.,,,7.37921659551524,-7.33059097386533,13.1243366335787,9.92146235609017,20.5521788507438
South Dakota,,,10.5267990213333,-18.21481654798,36.81071845202,27.5219136574514,29.1227009253733
South Dakota St.,,,6.16762670316645,-2.31343694120933,70.862554545526,40.0251751175324,74.7167443074831
South Florida,,,-8.94314772702701,-16.35532464732,0.96828899268,8.06818903921482,-33.273331108694
Southeast Missouri St.,,,19.1335461197664,5.431036251052,77.924259539066,38.5127125845875,102.488841909884
Southeastern Louisiana,,,35.342851377174,34.137378377174,36.548324377174,1.70479626567458,70.685702754348
Southern,,,-5.58104876471,-11.928415152812,59.95865823529,39.7984371008398,42.449194317768
Southern Illinois,,,4.24033011823057,-4.19256236407543,19.5591878028426,12.0410873842524,19.6069555569977
Southern Indiana,,,14.1962021801384,7.859592469464,55.402378469464,21.9388920607777,91.6543752992047
Southern Miss,,,15.3047663595735,12.6983663595735,17.9111663595735,3.68600622896924,30.609532719147
Southern Utah,,,-8.56603147652967,-9.23112651498867,-7.90093643807067,0.940586423655773,-17.1320629530593
St. Bonaventure,,,8.33485005309026,-10.1406125874234,22.5290415802706,14.0221815344999,29.0581290990277
St. John's,,,8.0363493322545,-23.0965305698345,287.521950171249,146.713226386526,280.498118265924
St. Thomas,,,26.728408920748,23.533064263648,29.923753577848,4.51889975052723,53.456817841496
Stanford,,,0.84309910424519,-8.7191152691527,10.2232611920026,8.22172457005332,3.19034413134028
